,0,1,2,3,4,5,6,7,8,9,10,11
0,, , , , ,CONTAINER RAIL MOVES HISTORY, ,PIER CONTAINER HISTORY, , ,TEU HISTORY, 
1,0.0,0,0,PERIOD,INTERMODAL,CHS RAIL MOVES RATIO,LOADED,EMPTY,TOTAL,LOADED,EMPTY,TOTAL
2,1.0,1,1,,DRAYS,,EXPORT IMPORT,EXPORT IMPORT,,EXPORT IMPORT,EXPORT IMPORT,
48,47.0,47,47,"April, 2001",0,0 0.00%,"3 0,207 2 8,005","7 ,531 7 ,143","7 2,886","5 3,117 4 8,437","1 2,258 1 2,424","1 26,237"
49,48.0,48,48,"May, 2001",0,0 0.00%,"3 1,216 3 0,734","1 2,847 5 ,719","8 0,516","5 4,878 5 3,250","2 1,456 1 0,407","1 39,990"
50,49.0,49,49,"June, 2001",0,0 0.00%,"2 8,265 2 9,505","1 0,742 5 ,286","7 3,798","4 9,093 5 1,506","1 8,466 8 ,978","1 28,042"
51,50.0,50,50,"July, 2001",0,0 0.00%,"2 5,015 3 0,309","1 0,820 2 ,068","6 8,212","4 3,384 5 3,072","1 8,784 3 ,443","1 18,683"
52,51.0,51,51,"August, 2001",0,0 0.00%,"2 7,768 3 0,994","1 2,397 2 ,849","7 4,008","4 8,466 5 4,386","2 1,960 4 ,794","1 29,607"
53,52.0,52,52,"September, 2001",0,0 0.00%,"2 5,389 2 8,892","1 0,110 3 ,160","6 7,551","4 4,500 5 0,708","1 7,970 5 ,600","1 18,778"
54,53.0,53,53,"October, 2001",0,0 0.00%,"2 8,385 3 0,716","1 2,182 5 ,027","7 6,310","4 9,096 5 3,854","2 1,311 9 ,108","1 33,368"
55,54.0,54,54,"November, 2001",0,0 0.00%,"2 7,373 2 8,446","1 2,873 4 ,278","7 2,970","4 7,867 4 9,606","2 2,899 7 ,346","1 27,718"
56,55.0,55,55,"December, 2001",0,0 0.00%,"2 7,478 2 8,873","8 ,202 2 ,258","6 6,811","4 7,717 5 0,367","1 3,646 3 ,765","1 15,494"
57,56.0,56,56,"January, 2002",0,0 0.00%,"2 4,155 2 5,375","7 ,100 2 ,213","5 8,843","4 1,635 4 4,309","1 2,080 3 ,701","1 01,724"
58,57.0,57,57,"February, 2002",0,0 0.00%,"2 6,965 2 7,498","1 0,640 3 ,806","6 8,909","4 6,871 4 8,187","1 8,380 6 ,172","1 19,610"
59,58.0,58,58,"March, 2002",0,0 0.00%,"3 4,247 3 1,892","1 0,489 4 ,345","8 0,973","6 0,112 5 5,409","1 7,584 7 ,540","1 40,645"
60,59.0,59,59,"April, 2002",0,0 0.00%,"2 8,088 3 0,794","1 0,188 3 ,421","7 2,491","4 8,918 5 3,407","1 7,166 5 ,942","1 25,433"
61,60.0,60,60,"May, 2002",0,0 0.00%,"2 9,637 3 3,956","1 1,438 4 ,018","7 9,049","5 1,903 5 9,426","1 9,582 6 ,646","1 37,556"
62,61.0,61,61,"June, 2002",0,0 0.00%,"2 9,055 3 3,719","1 5,319 2 ,420","8 0,513","5 1,236 5 9,002","2 6,876 3 ,654","1 40,768"
63,62.0,62,62,"July, 2002",0,0 0.00%,"2 2,803 3 4,668","1 5,448 1 ,014","7 3,933","3 9,609 6 0,968","2 6,527 1 ,870","1 28,973"
64,63.0,63,63,"August, 2002",0,0 0.00%,"2 9,163 3 5,812","1 7,456 2 ,059","8 4,490","5 1,370 6 3,076","3 1,204 3 ,488","1 49,138"
65,64.0,64,64,"September, 2002",0,0 0.00%,"2 4,561 3 2,441","1 5,577 1 ,981","7 4,560","4 3,029 5 6,972","2 7,668 3 ,396","1 31,065"
66,65.0,65,65,"October, 2002",0,0 0.00%,"2 6,550 3 3,451","1 5,405 2 ,185","7 7,591","4 6,659 5 9,045","2 7,325 3 ,721","1 36,749"
67,66.0,66,66,"November, 2002",0,0 0.00%,"2 8,104 3 3,648","1 3,481 3 ,056","7 8,289","4 8,520 5 9,311","2 4,241 5 ,809","1 37,881"
68,67.0,67,67,"December, 2002",0,0 0.00%,"2 8,868 3 4,953","1 5,848 2 ,532","8 2,201","4 9,525 6 1,217","2 8,167 4 ,385","1 43,294"
69,68.0,68,68,"January, 2003",0,0 0.00%,"2 7,785 3 2,864","1 2,490 2 ,726","7 5,865","4 7,984 5 7,181","2 2,283 4 ,562","1 32,010"
70,69.0,69,69,"February, 2003",0,0 0.00%,"2 8,623 3 3,026","1 1,301 2 ,002","7 4,952","5 0,099 5 8,144","1 9,478 3 ,671","1 31,391"
71,70.0,70,70,"March, 2003",0,0 0.00%,"3 5,135 3 5,251","1 5,392 3 ,267","8 9,045","6 1,792 6 1,758","2 7,365 5 ,734","1 56,648"
72,71.0,71,71,"April, 2003",0,0 0.00%,"2 8,727 3 5,409","1 4,291 2 ,313","8 0,740","5 0,457 6 2,275","2 5,260 3 ,664","1 41,656"
73,72.0,72,72,"May, 2003",0,0 0.00%,"2 8,007 3 4,581","1 5,157 1 ,293","7 9,038","4 9,279 6 1,109","2 6,327 2 ,386","1 39,100"
74,73.0,73,73,"June, 2003",0,0 0.00%,"2 8,413 3 5,842","2 0,808 2 ,543","8 7,606","4 9,999 6 2,376","3 6,913 4 ,531","1 53,819"
75,74.0,74,74,"July, 2003",0,0 0.00%,"2 4,582 3 7,384","1 5,216 1 ,966","7 9,148","4 2,581 6 5,937","2 6,716 3 ,573","1 38,807"
76,75.0,75,75,"August, 2003",0,0 0.00%,"2 8,351 3 8,054","1 7,079 1 ,901","8 5,385","4 9,657 6 7,680","3 0,309 3 ,124","1 50,770"
77,76.0,76,76,"September, 2003",0,0 0.00%,"2 4,265 3 3,732","1 5,903 1 ,016","7 4,916","4 2,726 5 9,802","2 8,538 1 ,815","1 32,881"
78,77.0,77,77,"October, 2003",0,0 0.00%,"2 8,268 3 8,598","1 4,639 2 ,634","8 4,139","4 9,622 6 7,918","2 5,929 4 ,722","1 48,191"
79,78.0,78,78,"November, 2003",0,0 0.00%,"2 6,877 3 4,789","1 6,819 3 ,243","8 1,728","4 7,500 6 0,746","2 8,493 6 ,000","1 42,738"
80,79.0,79,79,"December, 2003",0,0 0.00%,"2 5,884 3 3,392","8 ,878 2 ,223","7 0,377","4 5,235 5 8,692","1 5,477 3 ,434","1 22,838"
81,80.0,80,80,"January, 2004",0,0 0.00%,"2 9,006 3 4,437","1 2,068 2 ,714","7 8,225","5 1,109 6 0,706","2 0,598 4 ,478","1 36,891"
82,81.0,81,81,"February, 2004",0,0 0.00%,"3 0,845 3 4,535","9 ,024 5 ,309","7 9,713","5 3,354 6 0,766","1 5,434 8 ,328","1 37,882"
83,82.0,82,82,"March, 2004",0,0 0.00%,"3 3,465 3 9,361","1 1,415 5 ,237","8 9,478","5 8,007 6 8,309","2 0,479 8 ,811","1 55,606"
84,83.0,83,83,"April, 2004",0,0 0.00%,"2 9,195 3 8,687","1 8,446 1 ,932","8 8,260","5 0,844 6 8,138","3 2,062 3 ,215","1 54,258"
85,84.0,84,84,"May, 2004",0,0 0.00%,"3 2,521 4 1,575","1 6,741 3 ,102","9 3,939","5 6,500 7 2,149","2 9,011 4 ,867","1 62,527"
86,85.0,85,85,"June, 2004",0,0 0.00%,"2 8,121 3 7,260","1 2,859 3 ,149","8 1,389","4 8,685 6 4,929","2 2,707 4 ,878","1 41,199"
87,86.0,86,86,"July, 2004",0,0 0.00%,"2 9,644 4 5,060","1 6,285 3 ,119","9 4,108","5 1,137 7 8,833","2 6,912 4 ,833","1 61,715"
88,87.0,87,87,"August, 2004",0,0 0.00%,"3 1,571 4 2,967","1 7,147 3 ,150","9 4,835","5 4,931 7 5,337","2 9,393 5 ,347","1 65,008"
89,88.0,88,88,"September, 2004",0,0 0.00%,"2 9,347 4 0,096","1 5,243 3 ,285","8 7,971","5 0,065 6 9,584","2 6,580 5 ,104","1 51,332"
90,89.0,89,89,"October, 2004",0,0 0.00%,"3 3,746 4 4,971","1 9,603 4 ,093","1 02,413","5 7,293 7 8,513","3 3,462 6 ,134","1 75,402"
91,90.0,90,90,"November, 2004",0,0 0.00%,"3 1,295 4 0,136","1 4,265 3 ,761","8 9,457","5 4,261 6 9,612","2 4,927 6 ,460","1 55,260"
92,91.0,91,91,"December, 2004",0,0 0.00%,"3 2,748 4 2,039","1 7,325 3 ,380","9 5,492","5 6,782 7 3,223","3 1,028 5 ,805","1 66,838"
93,92.0,92,92,"January, 2005",0,0 0.00%,"3 3,543 4 0,623","1 5,489 4 ,021","9 3,676","5 8,351 7 0,756","2 7,090 6 ,911","1 63,108"
94,93.0,93,93,"February, 2005",0,0 0.00%,"3 2,405 3 9,194","1 2,614 2 ,664","8 6,877","5 6,250 6 8,919","2 1,533 4 ,890","1 51,592"
95,94.0,94,94,"March, 2005",0,0 0.00%,"3 4,562 4 4,971","1 2,533 3 ,637","9 5,703","6 0,231 7 8,397","2 1,390 6 ,217","1 66,235"
