, , , , ,CONTAINER RAIL MOVES HISTORY, ,PIER CONTAINER HISTORY, , ,TEU HISTORY, 
14,14,14,"July, 1998",0,0 0.00%,"2 3,977 2 3,533","4 ,966 6 ,548","5 9,024","4 1,375 4 0,646","8 ,125 1 1,364","1 01,510"
15,15,15,"August, 1998",0,0 0.00%,"2 7,241 2 5,208","6 ,381 4 ,681","6 3,511","4 7,693 4 3,165","1 1,096 8 ,178","1 10,132"
16,16,16,"September, 1998",0,0 0.00%,"2 5,052 2 3,013","5 ,232 4 ,054","5 7,351","4 3,200 3 9,674","8 ,281 6 ,744","9 7,899"
17,17,17,"October, 1998",0,0 0.00%,"2 7,361 2 4,894","4 ,516 5 ,780","6 2,551","4 7,873 4 3,177","7 ,170 9 ,881","1 08,101"
18,18,18,"November, 1998",0,0 0.00%,"2 6,715 2 3,774","5 ,084 6 ,594","6 2,167","4 7,288 4 0,883","8 ,144 1 1,311","1 07,626"
19,19,19,"December, 1998",0,0 0.00%,"2 5,454 2 3,263","6 ,367 6 ,587","6 1,671","4 4,483 3 9,883","9 ,913 1 1,374","1 05,653"
20,20,20,"January, 1999",0,0 0.00%,"2 6,714 2 1,527","4 ,765 8 ,757","6 1,763","4 7,414 3 6,988","7 ,278 1 5,072","1 06,752"
21,21,21,"February, 1999",0,0 0.00%,"2 6,849 2 2,421","5 ,747 5 ,941","6 0,958","4 7,914 3 8,478","8 ,863 1 1,173","1 06,428"
22,22,22,"March, 1999",0,0 0.00%,"3 0,063 2 7,178","4 ,061 8 ,039","6 9,341","5 2,732 4 6,461","6 ,987 1 4,778","1 20,958"
23,23,23,"April, 1999",0,0 0.00%,"3 0,580 2 6,447","6 ,262 8 ,546","7 1,835","5 3,447 4 5,685","9 ,858 1 5,233","1 24,223"
24,24,24,"May, 1999",0,0 0.00%,"3 0,965 2 8,544","7 ,374 7 ,475","7 4,358","5 3,305 4 9,707","1 1,613 1 2,597","1 27,222"
25,25,25,"June, 1999",0,0 0.00%,"3 0,821 2 9,587","7 ,977 7 ,513","7 5,898","5 3,522 5 1,527","1 3,197 1 2,868","1 31,114"
26,26,26,"July, 1999",0,0 0.00%,"3 0,080 2 9,160","7 ,535 5 ,553","7 2,328","5 2,187 5 0,749","1 1,949 9 ,649","1 24,533"
27,27,27,"August, 1999",0,0 0.00%,"3 0,998 2 8,856","7 ,223 7 ,238","7 4,315","5 4,158 5 0,077","1 1,875 1 2,391","1 28,500"
28,28,28,"September, 1999",0,0 0.00%,"3 1,378 2 8,211","8 ,568 5 ,386","7 3,543","5 4,489 4 8,775","1 4,154 8 ,734","1 26,151"
29,29,29,"October, 1999",0,0 0.00%,"3 5,117 2 7,466","5 ,782 8 ,833","7 7,198","6 1,237 4 7,523","9 ,076 1 5,167","1 33,002"
30,30,30,"November, 1999",0,0 0.00%,"3 3,788 2 8,169","6 ,529 6 ,517","7 5,003","5 8,696 4 8,524","1 0,827 1 1,708","1 29,754"
31,31,31,"December, 1999",0,0 0.00%,"3 2,781 2 5,948","7 ,196 8 ,201","7 4,126","5 7,192 4 5,136","1 1,413 1 4,267","1 28,007"
32,32,32,"January, 2000",0,0 0.00%,"3 2,018 2 6,961","6 ,938 7 ,961","7 3,878","5 6,714 4 6,789","1 1,514 1 4,394","1 29,412"
33,33,33,"February, 2000",0,0 0.00%,"3 2,246 2 5,952","4 ,487 7 ,724","7 0,409","5 7,206 4 4,971","7 ,080 1 3,890","1 23,147"
34,34,34,"March, 2000",0,0 0.00%,"3 5,545 2 9,960","5 ,694 8 ,837","8 0,036","6 3,240 5 2,092","9 ,037 1 6,381","1 40,750"
35,35,35,"April, 2000",0,0 0.00%,"3 5,414 3 1,519","6 ,239 4 ,688","7 7,860","6 2,583 5 5,329","1 0,069 7 ,995","1 35,976"
36,36,36,"May, 2000",0,0 0.00%,"3 1,082 2 9,463","8 ,218 5 ,818","7 4,581","5 5,266 5 1,596","1 3,702 1 0,558","1 31,121"
37,37,37,"June, 2000",0,0 0.00%,"3 5,624 3 2,133","8 ,861 6 ,444","8 3,062","6 2,461 5 5,823","1 4,674 1 1,157","1 44,114"
38,38,38,"July, 2000",0,0 0.00%,"2 9,308 3 2,291","1 3,576 6 ,332","8 1,507","5 1,352 5 6,508","2 3,260 1 1,682","1 42,801"
39,39,39,"August, 2000",0,0 0.00%,"3 1,644 3 2,316","1 2,470 2 ,995","7 9,425","5 5,954 5 6,109","2 1,374 5 ,427","1 38,864"
40,40,40,"September, 2000",0,0 0.00%,"3 1,915 2 9,893","1 1,473 5 ,501","7 8,782","5 6,296 5 2,058","1 9,584 9 ,749","1 37,687"
41,41,41,"October, 2000",0,0 0.00%,"2 9,386 3 0,298","1 1,095 6 ,504","7 7,283","5 1,614 5 2,729","1 8,460 1 2,055","1 34,857"
42,42,42,"November, 2000",0,0 0.00%,"3 2,646 3 0,836","1 0,313 5 ,783","7 9,578","5 7,025 5 2,925","1 7,882 9 ,429","1 37,261"
43,43,43,"December, 2000",0,0 0.00%,"2 9,396 3 2,121","1 2,299 7 ,057","8 0,873","5 1,675 5 5,555","2 0,743 1 2,013","1 39,985"
44,44,44,"January, 2001",0,0 0.00%,"2 8,323 2 6,727","9 ,247 7 ,037","7 1,334","4 9,769 4 6,228","1 4,402 1 1,177","1 21,575"
45,45,45,"February, 2001",0,0 0.00%,"3 1,070 2 9,437","1 0,805 4 ,628","7 5,940","5 4,435 5 0,980","1 7,827 7 ,615","1 30,857"
46,46,46,"March, 2001",0,0 0.00%,"3 3,571 3 2,120","8 ,440 7 ,161","8 1,292","5 9,320 5 5,879","1 3,869 1 2,354","1 41,422"
47,47,47,"April, 2001",0,0 0.00%,"3 0,207 2 8,005","7 ,531 7 ,143","7 2,886","5 3,117 4 8,437","1 2,258 1 2,424","1 26,237"
48,48,48,"May, 2001",0,0 0.00%,"3 1,216 3 0,734","1 2,847 5 ,719","8 0,516","5 4,878 5 3,250","2 1,456 1 0,407","1 39,990"
49,49,49,"June, 2001",0,0 0.00%,"2 8,265 2 9,505","1 0,742 5 ,286","7 3,798","4 9,093 5 1,506","1 8,466 8 ,978","1 28,042"
50,50,50,"July, 2001",0,0 0.00%,"2 5,015 3 0,309","1 0,820 2 ,068","6 8,212","4 3,384 5 3,072","1 8,784 3 ,443","1 18,683"
51,51,51,"August, 2001",0,0 0.00%,"2 7,768 3 0,994","1 2,397 2 ,849","7 4,008","4 8,466 5 4,386","2 1,960 4 ,794","1 29,607"
52,52,52,"September, 2001",0,0 0.00%,"2 5,389 2 8,892","1 0,110 3 ,160","6 7,551","4 4,500 5 0,708","1 7,970 5 ,600","1 18,778"
53,53,53,"October, 2001",0,0 0.00%,"2 8,385 3 0,716","1 2,182 5 ,027","7 6,310","4 9,096 5 3,854","2 1,311 9 ,108","1 33,368"
54,54,54,"November, 2001",0,0 0.00%,"2 7,373 2 8,446","1 2,873 4 ,278","7 2,970","4 7,867 4 9,606","2 2,899 7 ,346","1 27,718"
55,55,55,"December, 2001",0,0 0.00%,"2 7,478 2 8,873","8 ,202 2 ,258","6 6,811","4 7,717 5 0,367","1 3,646 3 ,765","1 15,494"
56,56,56,"January, 2002",0,0 0.00%,"2 4,155 2 5,375","7 ,100 2 ,213","5 8,843","4 1,635 4 4,309","1 2,080 3 ,701","1 01,724"
57,57,57,"February, 2002",0,0 0.00%,"2 6,965 2 7,498","1 0,640 3 ,806","6 8,909","4 6,871 4 8,187","1 8,380 6 ,172","1 19,610"
58,58,58,"March, 2002",0,0 0.00%,"3 4,247 3 1,892","1 0,489 4 ,345","8 0,973","6 0,112 5 5,409","1 7,584 7 ,540","1 40,645"
59,59,59,"April, 2002",0,0 0.00%,"2 8,088 3 0,794","1 0,188 3 ,421","7 2,491","4 8,918 5 3,407","1 7,166 5 ,942","1 25,433"
60,60,60,"May, 2002",0,0 0.00%,"2 9,637 3 3,956","1 1,438 4 ,018","7 9,049","5 1,903 5 9,426","1 9,582 6 ,646","1 37,556"
61,61,61,"June, 2002",0,0 0.00%,"2 9,055 3 3,719","1 5,319 2 ,420","8 0,513","5 1,236 5 9,002","2 6,876 3 ,654","1 40,768"
62,62,62,"July, 2002",0,0 0.00%,"2 2,803 3 4,668","1 5,448 1 ,014","7 3,933","3 9,609 6 0,968","2 6,527 1 ,870","1 28,973"
63,63,63,"August, 2002",0,0 0.00%,"2 9,163 3 5,812","1 7,456 2 ,059","8 4,490","5 1,370 6 3,076","3 1,204 3 ,488","1 49,138"
64,64,64,"September, 2002",0,0 0.00%,"2 4,561 3 2,441","1 5,577 1 ,981","7 4,560","4 3,029 5 6,972","2 7,668 3 ,396","1 31,065"
65,65,65,"October, 2002",0,0 0.00%,"2 6,550 3 3,451","1 5,405 2 ,185","7 7,591","4 6,659 5 9,045","2 7,325 3 ,721","1 36,749"
66,66,66,"November, 2002",0,0 0.00%,"2 8,104 3 3,648","1 3,481 3 ,056","7 8,289","4 8,520 5 9,311","2 4,241 5 ,809","1 37,881"
67,67,67,"December, 2002",0,0 0.00%,"2 8,868 3 4,953","1 5,848 2 ,532","8 2,201","4 9,525 6 1,217","2 8,167 4 ,385","1 43,294"
68,68,68,"January, 2003",0,0 0.00%,"2 7,785 3 2,864","1 2,490 2 ,726","7 5,865","4 7,984 5 7,181","2 2,283 4 ,562","1 32,010"
69,69,69,"February, 2003",0,0 0.00%,"2 8,623 3 3,026","1 1,301 2 ,002","7 4,952","5 0,099 5 8,144","1 9,478 3 ,671","1 31,391"
70,70,70,"March, 2003",0,0 0.00%,"3 5,135 3 5,251","1 5,392 3 ,267","8 9,045","6 1,792 6 1,758","2 7,365 5 ,734","1 56,648"
71,71,71,"April, 2003",0,0 0.00%,"2 8,727 3 5,409","1 4,291 2 ,313","8 0,740","5 0,457 6 2,275","2 5,260 3 ,664","1 41,656"
72,72,72,"May, 2003",0,0 0.00%,"2 8,007 3 4,581","1 5,157 1 ,293","7 9,038","4 9,279 6 1,109","2 6,327 2 ,386","1 39,100"
73,73,73,"June, 2003",0,0 0.00%,"2 8,413 3 5,842","2 0,808 2 ,543","8 7,606","4 9,999 6 2,376","3 6,913 4 ,531","1 53,819"
74,74,74,"July, 2003",0,0 0.00%,"2 4,582 3 7,384","1 5,216 1 ,966","7 9,148","4 2,581 6 5,937","2 6,716 3 ,573","1 38,807"
75,75,75,"August, 2003",0,0 0.00%,"2 8,351 3 8,054","1 7,079 1 ,901","8 5,385","4 9,657 6 7,680","3 0,309 3 ,124","1 50,770"
76,76,76,"September, 2003",0,0 0.00%,"2 4,265 3 3,732","1 5,903 1 ,016","7 4,916","4 2,726 5 9,802","2 8,538 1 ,815","1 32,881"
77,77,77,"October, 2003",0,0 0.00%,"2 8,268 3 8,598","1 4,639 2 ,634","8 4,139","4 9,622 6 7,918","2 5,929 4 ,722","1 48,191"
78,78,78,"November, 2003",0,0 0.00%,"2 6,877 3 4,789","1 6,819 3 ,243","8 1,728","4 7,500 6 0,746","2 8,493 6 ,000","1 42,738"
79,79,79,"December, 2003",0,0 0.00%,"2 5,884 3 3,392","8 ,878 2 ,223","7 0,377","4 5,235 5 8,692","1 5,477 3 ,434","1 22,838"
80,80,80,"January, 2004",0,0 0.00%,"2 9,006 3 4,437","1 2,068 2 ,714","7 8,225","5 1,109 6 0,706","2 0,598 4 ,478","1 36,891"
81,81,81,"February, 2004",0,0 0.00%,"3 0,845 3 4,535","9 ,024 5 ,309","7 9,713","5 3,354 6 0,766","1 5,434 8 ,328","1 37,882"
82,82,82,"March, 2004",0,0 0.00%,"3 3,465 3 9,361","1 1,415 5 ,237","8 9,478","5 8,007 6 8,309","2 0,479 8 ,811","1 55,606"
83,83,83,"April, 2004",0,0 0.00%,"2 9,195 3 8,687","1 8,446 1 ,932","8 8,260","5 0,844 6 8,138","3 2,062 3 ,215","1 54,258"
84,84,84,"May, 2004",0,0 0.00%,"3 2,521 4 1,575","1 6,741 3 ,102","9 3,939","5 6,500 7 2,149","2 9,011 4 ,867","1 62,527"
85,85,85,"June, 2004",0,0 0.00%,"2 8,121 3 7,260","1 2,859 3 ,149","8 1,389","4 8,685 6 4,929","2 2,707 4 ,878","1 41,199"
86,86,86,"July, 2004",0,0 0.00%,"2 9,644 4 5,060","1 6,285 3 ,119","9 4,108","5 1,137 7 8,833","2 6,912 4 ,833","1 61,715"
87,87,87,"August, 2004",0,0 0.00%,"3 1,571 4 2,967","1 7,147 3 ,150","9 4,835","5 4,931 7 5,337","2 9,393 5 ,347","1 65,008"
88,88,88,"September, 2004",0,0 0.00%,"2 9,347 4 0,096","1 5,243 3 ,285","8 7,971","5 0,065 6 9,584","2 6,580 5 ,104","1 51,332"
89,89,89,"October, 2004",0,0 0.00%,"3 3,746 4 4,971","1 9,603 4 ,093","1 02,413","5 7,293 7 8,513","3 3,462 6 ,134","1 75,402"
90,90,90,"November, 2004",0,0 0.00%,"3 1,295 4 0,136","1 4,265 3 ,761","8 9,457","5 4,261 6 9,612","2 4,927 6 ,460","1 55,260"
91,91,91,"December, 2004",0,0 0.00%,"3 2,748 4 2,039","1 7,325 3 ,380","9 5,492","5 6,782 7 3,223","3 1,028 5 ,805","1 66,838"
92,92,92,"January, 2005",0,0 0.00%,"3 3,543 4 0,623","1 5,489 4 ,021","9 3,676","5 8,351 7 0,756","2 7,090 6 ,911","1 63,108"
93,93,93,"February, 2005",0,0 0.00%,"3 2,405 3 9,194","1 2,614 2 ,664","8 6,877","5 6,250 6 8,919","2 1,533 4 ,890","1 51,592"
94,94,94,"March, 2005",0,0 0.00%,"3 4,562 4 4,971","1 2,533 3 ,637","9 5,703","6 0,231 7 8,397","2 1,390 6 ,217","1 66,235"
95,95,95,"April, 2005",0,0 0.00%,"3 4,323 4 5,421","1 4,308 4 ,202","9 8,254","5 9,697 8 0,140","2 5,366 7 ,185","1 72,388"
96,96,96,"May, 2005",0,0 0.00%,"3 5,284 4 6,557","1 9,207 2 ,761","1 03,809","6 1,783 8 1,708","3 3,478 5 ,246","1 82,214"
97,97,97,"June, 2005",0,0 0.00%,"3 1,691 4 0,068","1 7,157 2 ,817","9 1,733","5 5,605 7 0,036","2 9,408 4 ,736","1 59,784"
98,98,98,"July, 2005",0,0 0.00%,"3 2,411 4 5,377","2 0,007 2 ,177","9 9,972","5 6,911 7 9,870","3 5,469 4 ,111","1 76,361"
99,99,99,"August, 2005",0,0 0.00%,"3 1,565 4 4,721","1 5,410 3 ,532","9 5,228","5 4,920 7 7,988","2 6,935 6 ,554","1 66,396"
100,100,100,"September, 2005",0,0 0.00%,"2 9,713 3 9,533","1 8,030 1 ,803","8 9,079","5 2,050 6 9,599","3 0,707 3 ,434","1 55,790"
101,101,101,"October, 2005",0,0 0.00%,"3 1,491 4 3,412","1 8,521 2 ,511","9 5,935","5 5,838 7 6,536","3 2,148 4 ,514","1 69,034"
102,102,102,"November, 2005",0,0 0.00%,"3 0,020 4 3,343","1 7,758 2 ,426","9 3,547","5 3,250 7 5,257","3 0,443 4 ,171","1 63,121"
103,103,103,"December, 2005",0,0 0.00%,"3 0,505 4 1,136","1 7,467 2 ,271","9 1,379","5 3,907 7 1,670","2 9,531 3 ,758","1 58,865"
104,104,104,"January, 2006",0,0 0.00%,"3 2,118 4 2,833","1 7,076 2 ,901","9 4,928","5 7,004 7 5,312","2 8,701 5 ,077","1 66,094"
105,105,105,"February, 2006",0,0 0.00%,"2 8,352 3 9,721","1 5,362 3 ,384","8 6,819","4 9,879 6 9,972","2 6,349 5 ,393","1 51,593"
106,106,106,"March, 2006",0,0 0.00%,"3 3,674 4 2,730","1 2,664 3 ,079","9 2,147","5 9,631 7 5,007","2 0,683 5 ,486","1 60,807"
107,107,107,"April, 2006",0,0 0.00%,"3 1,488 4 5,495","1 5,542 2 ,102","9 4,627","5 5,615 8 0,395","2 6,621 3 ,526","1 66,156"
108,108,108,"May, 2006",0,0 0.00%,"3 3,762 4 3,323","1 7,691 2 ,292","9 7,068","5 9,054 7 6,101","3 0,849 3 ,827","1 69,831"
109,109,109,"June, 2006",0,0 0.00%,"3 2,935 4 4,907","1 8,212 3 ,299","9 9,353","5 7,676 7 8,504","3 2,547 6 ,034","1 74,760"
110,110,110,"July, 2006",0,0 0.00%,"2 9,765 4 4,414","1 8,062 2 ,297","9 4,538","5 1,962 7 8,549","3 1,511 4 ,016","1 66,038"
111,111,111,"August, 2006",0,0 0.00%,"3 1,889 4 2,577","1 9,013 2 ,175","9 5,654","5 5,301 7 4,756","3 3,848 3 ,636","1 67,541"
112,112,112,"September, 2006",0,0 0.00%,"3 0,805 4 3,881","1 7,023 1 ,312","9 3,021","5 3,415 7 7,593","2 9,917 2 ,248","1 63,173"
113,113,113,"October, 2006",0,0 0.00%,"3 2,165 4 3,032","1 9,760 2 ,068","9 7,025","5 6,343 7 5,818","3 4,956 3 ,462","1 70,577"
114,114,114,"November, 2006",0,0 0.00%,"3 0,404 3 7,109","1 5,106 4 ,484","8 7,103","5 3,480 6 4,669","2 5,661 7 ,939","1 51,748"
115,115,115,"December, 2006",0,0 0.00%,"3 3,378 3 9,682","1 5,021 3 ,501","9 1,582","5 8,562 6 9,556","2 5,886 6 ,154","1 60,157"
116,116,116,"January, 2007",0,0 0.00%,"3 0,577 3 6,042","1 1,871 4 ,312","8 2,802","5 3,717 6 2,981","2 0,213 7 ,259","1 44,169"
117,117,117,"February, 2007",0,0 0.00%,"3 1,170 3 4,212","1 1,884 3 ,896","8 1,162","5 5,244 6 0,109","2 0,090 6 ,512","1 41,954"
