,Port,2010 short tons,Rank,Port,Short tons 2009,Port,Short tons 2009
67,"Grays Harbor, WA","1,651",116,Grand Haven (MI),763,"Monroe, MI","1,453"
68,"Biloxi, MS","1,612",117,Fernandina (FL),734,"Richmond, VA","1,429"
69,"Morgan City, LA","1,558",118,Port Angeles (WA),720,"Port Hueneme, CA","1,372"
70,"Guntersville, AL","1,540",119,Huron (OH),717,"Buffalo, NY","1,367"
71,"Buffington, IN","1,530",120,Taconite (MN),715,"Coos Bay, OR","1,328"
72,"Muskegon, MI","1,476",121,Orange (TX),684,"Buffington, IN","1,301"
73,"Port Hueneme, CA","1,472",122,Salem (MA),658,"Grays Harbor, WA","1,162"
74,"San Diego, CA","1,444",123,Marine City (MI),585,"San Diego, CA","1,137"
75,"Helena, AR","1,437",124,Erie (PA),582,"Fairport Harbor, OH","1,122"
76,"San Francisco, CA","1,376",125,Ketchikan (AK),571,"Kawaihae Harbor, HI","1,112"
77,"Rosedale, MS","1,365",126,Marysville (MI),435,"Hilo, HI","1,088"
78,"Olympia, WA","1,357",127,Christiansted (VI),410,"Drummond Island, MI","1,040"
79,"Unalaska Island, AK","1,321",128,Sacramento (CA),385,"Everett, WA","1,006"
80,"Chester, PA","1,279",129,Oswego (NY),362,"Olympia, WA",995
81,"Port Jefferson, NY","1,222",130,Juneau (AK),346,,
82,130,"Nawiliwili, Kauai, HI",951,130.0,,,
83,"Kansas City, MO","1,130",131,Humboldt Bay (CA),131,911,131
84,"Seward, AK","1,113",132,New Bedford (MA),320,"Redwood City, CA",907
0,"Everett, WA","1,093",133,St. Thomas (VI),265,"Seward, AK",904
1,"Drummond Island, MI","1,050",134,Ludington (MI),212,"Hopewell, VA",889
2,"Hopewell, VA","1,019",135,Mayaguez (PR),135,888,135
0,"Aransas Pass, TX",945,136.0,Waukegan (IL),136.1,886,136.2
1,"Buffalo, NY",943,137.0,Kodiak (AK),193.0,"Chester, PA",881.0
2,"Southeast Missouri Port, MO",932,138.0,Fajardo (PR),168.0,,
3,138,"Grand Haven, MI",868.0,138.0,,,
4,"Port Angeles, WA",927,139.0,Bucksport (ME),139.0,770,139.0
5,"Richmond, VA",902,140.0,Fort Pierce (FL),132.0,"Southeast Missouri Port, MO",758.0
6,"Lake Providence, LA",896,141.0,Georgetown(SC),120.0,"Sabine Pass, TX",753.0
7,"Redwood City, CA",896,142.0,Port Townsend (WA),111.0,"Stamford, CT",693.0
8,"Elvis Stahr Harbor, KY",856,143.0,Homer (AK),108.0,"Hempstead, NY",658.0
9,"Ketchikan, AK",833,144.0,Sitka (AK),107.0,"Port Angeles, WA",649.0
10,"Hempstead, NY",814,145.0,Rochester (NY),97.0,"Lake Providence, LA",635.0
11,"Taconite, MN",764,146.0,Skagway (AK),70.0,"Elvis Stahr Harbor, KY",634.0
12,"Pensacola, FL",752,147.0,Bellingham (WA),64.0,"Salem, MA",629.0
13,"Orange, TX",696,148.0,Kelleys Island (OH),54.0,"Marquette, MI",626.0
