,rank,port,Short tons 1974,port,Short tons 1973,Port,Short tons 1972
50,49.0,Kalama (WA),"1,252",Palm Beach (FL),"1,284",Erie (PA),"1,360"
51,50.0,Searsport (ME),"1,216",Erie (PA),"1,283",Kahului (HI),"1,298"
52,51.0,Olympia (WA),"1,216",Orange (TX),"1,280",Brunswick (GA),"1,263"
53,52.0,Hopewell (VA),"1,156",Bucksport (ME),"1,183",Sitka (AK),"1,243"
54,53.0,Bucksport (ME),"1,154",Wrangell (AK),"1,172",Searsport (ME),"1,199"
55,54.0,Palm Beach (FL),"1,097",Morehead City (NC),"1,161",Gulfport (MS),"1,198"
56,55.0,Wrangell (AK),"1,023",Hueneme (CA),"1,109",Wrangell (AK),"1,169"
57,56.0,Hueneme (CA),984,Hopewell (VA),"1,097",Bucksport (ME),"1,128"
58,57.0,Kahului (HI),982,Kahului (HI),"1,043",Palm Beach (FL),"1,115"
59,58.0,Sitka (AK),970,Hilo (HI),"1,042",Hilo (HI),"1,108"
60,59.0,Ponce (PR),961,Olympia (WA),990,Humboldt Bay (CA),"1,074"
61,60.0,Hilo (HI),929,Gulfport (MS),989,Redwood City (CA),959
62,61.0,Erie (PA),903,Oswego (NY),931,Hopewell (VA),922
63,62.0,Oswego (NY),902,Sitka (AK),828,Oswego (NY),779
64,63.0,Gulfport (MS),821,Marysville (MI),607,Ponce (PR),757
65,64.0,Marysville (MI),578,Waukegan (IL),590,Marysville (MI),634
66,65.0,Christiansted (VI),543,Ponce (PR),516,Nawiliwili (HI),583
67,66.0,Waukegan (IL),474,Nawiliwili (HI),495,Waukegan (IL),437
68,67.0,Redwood City (CA),447,Redwood City (CA),468,Fernandina (FL),383
69,68.0,Nawiliwili (HI),380,Christiansted (VI),402,St. Thomas (VI),378
70,69.0,Fernandina (FL),373,St. Thomas (VI),392,Kawaihae (HI),303
71,70.0,St. Thomas (VI),372,Fernandina (FL),387,Christiansted (VI),299
72,71.0,Valdez (AK0,357,Kawaihae (HI),386,Mayaguez (PR),265
73,72.0,Mayaguez (PR),308,Mayaguez (PR),345,Valdez (AK0,254
74,73.0,Kawaihae (HI),291,Valdez (AK0,301,Hueneme (CA),173
75,74.0,Marine City (MI),233,Marine City (MI),253,Marine City (MI),160
76,75.0,Monroe (MI),216,Monroe (MI),37,Monroe (MI),30
