,rank,Port,Short tons 1994,port,Short tons 1993,port,Short tons 1992,port,Short tons 1991
49,48.0,Sacramento (CA),"1,545",Brunswick (GA),"1,593",Brownsville (TX),"1,594",Ketchikan (AK),"1,568"
50,49.0,Christiansted (VI),"1,543",Ketchikan (AK),"1,564",Hilo (HI),"1,588",Hilo (HI),"1,556"
51,50.0,Olympia (WA),"1,514",Salem (MA),"1,558",Muskegon (MI),"1,562",Salem (MA),"1,552"
52,51.0,Drummond Island (MI),"1,474",Hilo (HI),"1,469",Drummond Island (MI),"1,496",Stockton (CA),"1,491"
53,52.0,Pensacola (FL),"1,466",Charlevoix (MI),"1,467",Brunswick (GA),"1,450",Bellingham (WA),"1,482"
54,53.0,Hilo (HI),"1,455",Gulfport (MS),"1,420",Salem (MA),"1,439",Muskegon (MI),"1,358"
55,54.0,Humboldt Bay (CA),"1,407",Searsport (ME),"1,407",Bellingham (WA),"1,383",Charlevoix (MI),"1,312"
56,55.0,Astoria (OR),"1,354",San Diego (CA),"1,294",Bucksport (ME),"1,354",Skagway (AK),"1,290"
57,56.0,Bellingham (WA),"1,343",Nawiliwili (HI),"1,283",Charlevoix (MI),"1,353",Sacramento (CA),"1,226"
58,57.0,Bucksport (ME),"1,232",Hopewell (VA),"1,256",Humboldt Bay (CA),"1,311",Seward (AK),"1,181"
59,58.0,Salem (MA),"1,227",Bellingham (WA),"1,223",Hopewell (VA),"1,278",Bucksport (ME),"1,113"
60,59.0,Marysville (MI),"1,175",Christiansted (VI),"1,202",Gulfport (MS),"1,249",Hopewell (VA),"1,101"
61,60.0,San Diego (CA),"1,167",Erie (PA),"1,160",Erie (PA),"1,247",Erie (PA),"1,008"
62,61.0,Nawiliwili (HI),"1,151",Bucksport (ME),"1,158",Nawiliwili (HI),"1,143",Nawiliwili (HI),"1,005"
63,62.0,Searsport (ME),"1,136",Georgetown(SC),"1,113",Sacramento (CA),"1,136",Georgetown(SC),962
64,63.0,Richmond (VA),"1,134",Stockton (CA),"1,103",Christiansted (VI),"1,046",Olympia (WA),945
65,64.0,Richmond (VA),"1,134",Monroe (MI),"1,078",Georgetown(SC),955,Gulfport (MS),944
66,65.0,Ludington (MI),"1,093",Sacramento (CA),"1,078",Grand Haven (MI),871,Ludington (MI),929
67,66.0,Erie (PA),979,Grand Haven (MI),"1,004",Ludington (MI),846,San Diego (CA),904
68,67.0,Seward (AK),961,Humboldt Bay (CA),994,Ponce (PR),829,Searsport (ME),889
69,68.0,Hopewell (VA),916,Ludington (MI),966,Redwood City (CA),816,Orange (TX),849
70,69.0,Grand Haven (MI),878,Olympia (WA),924,Kawaihae (HI),790,Oswego (NY),818
71,70.0,Huron (OH),871,Seward (AK),862,Searsport (ME),783,Grand Haven (MI),792
72,71.0,Redwood City (CA),856,Marquette (MI),789,Astoria (OR),721,Drummond Island (MI),786
73,72.0,Port Huron (MI),839,Marysville (MI),736,Wrangell (AK),718,Kawaihae (HI),745
74,73.0,Marquette (MI),822,Hueneme (CA),696,Olympia (WA),714,Christiansted (VI),745
75,74.0,Hueneme (CA),814,Skagway (AK),660,Seward (AK),686,Ponce (PR),727
76,75.0,Kawaihae (HI),736,Kawaihae (HI),655,Marysville (MI),640,Wrangell (AK),714
