,Rank,port,Short tons 1998,port,Short tons 1997,port,Short tons 1996,port,Short tons 1995
16,15.0,St. Clair (MI),"5,533",Conneaut (OH),"6,205",St. Clair (MI),"5 ,427",Saginaw River (MI),"4 ,720"
17,16.0,Camden (NJ),"5,492",Saginaw River (MI),"5,730",Saginaw River (MI),"5 ,264",Morehead City (NC),"4 ,620"
18,17.0,Port Inland (MI),"5,489",St. Clair (MI),"5,699",Silver Bay (MN),"5 ,240",Everett (WA),"4 ,441"
19,18.0,Morehead City (NC),"5,260",Longview (WA),"5,540",Longview (WA),"5 ,163",Wilmington (DE),"4 ,273"
20,19.0,Silver Bay (MN),"5,182",Silver Bay (MN),"5,489",Port Inland (MI),"5 ,063",Portsmouth(NH),"3 ,914"
21,20.0,Wilmington (DE),"4,998",Bridgeport (CT),"5,340",Bridgeport (CT),"4 ,862",Marine City (MI),"3 ,850"
22,21.0,Kalama (WA),"4,717",Port Inland (MI),"5,305",Wilmington (DE),"4 ,324",Coos Bay (OR),"3 ,628"
23,22.0,Bridgeport (CT),"4,626",Morehead City (NC),"5,201",Marine City (MI),"4 ,116",Sandusky (OH),"3 ,536"
24,23.0,Sandusky (OH),"4,334",Sandusky (OH),"4,403",Everett (WA),"4 ,007",Bridgeport (CT),"3 ,447"
25,24.0,Longview (WA),"4,279",Wilmington (DE),"4,401",Portsmouth(NH),"3 ,708",Fall River (MA),"3 ,282"
26,25.0,Marine City (MI),"4,252",Marine City (MI),"4,001",Canaveral (FL),"3 ,567",Milwaukee (WI),"3 ,262"
27,26.0,Portsmouth(NH),"4,194",Port Dolmite (MI),"3,992",Sandusky (OH),"3 ,408",Anchorage (AK),"3 ,222"
28,27.0,Port Dolmite (MI),"4,095",Portsmouth(NH),"3,954",Anchorage (AK),"3 ,401",Palm Beach (FL),"2 ,972"
29,28.0,Marblehead (OH),"3,975",Everett (WA),"3,640",Coos Bay (OR),"3 ,322",Fairport (OH),"2 ,941"
30,29.0,Canaveral (FL),"3,795",Marblehead (OH),"3,619",Port Dolmite (MI),"3 ,318",Panama City (FL),"2 ,891"
31,30.0,Fall River (MA),"3,776",Anchorage (AK),"3,424",Fall River (MA),"3 ,180",Canaveral (FL),"2 ,817"
32,31.0,Anchorage (AK),"3,589",Fall River (MA),"3,394",Panama City (FL),"3 ,124",Alpena (MI),"2 ,767"
33,32.0,Everett (WA),"3,321",Fairport (OH),"3,296",Milwaukee (WI),"2 ,858",Brownsville (TX),"2 ,656"
34,33.0,Palm Beach (FL),"3,149",Milwaukee (WI),"3,265",Kahului (HI),"2 ,828",Kahului (HI),"2 ,586"
35,34.0,Milwaukee (WI),"3,108",Coos Bay (OR),"3,164",Marblehead (OH),"2 ,817",Port Manatee,"2 ,505"
36,35.0,Alpena (MI),"3,078",Canaveral (FL),"3,147",Port Angeles (WA),"2 ,780",Olympia (WA),"2 ,166"
37,36.0,Fairport (OH),"2,880",Port Manatee,"3,108",Fairport (OH),"2 ,770",Green Bay (WI),"2 ,122"
38,37.0,Kahului (HI),"2,851",Palm Beach (FL),"2,922",Port Manatee,"2 ,516",Gulfport (MS),"2 ,023"
39,38.0,Brownsville (TX),"2,799",Alpena (MI),"2,901",Brownsville (TX),"2 ,401",Brunswick (GA),"2 ,002"
40,39.0,Coos Bay (OR),"2,773",Kahului (HI),"2,895",Alpena (MI),"2 ,345",Monroe (MI),"1 ,920"
41,40.0,Panama City (FL),"2,683",Panama City (FL),"2,878",Palm Beach (FL),"2 ,294",Port Angeles (WA),"1 ,911"
42,41.0,Ponce (PR),"2,677",Monroe (MI),"2,750",Green Bay (WI),"2 ,176",Buffalo (NY),"1 ,873"
43,42.0,Brunswick (GA),"2,615",Brunswick (GA),"2,698",Muskegon (MI),"2 ,172",Muskegon (MI),"1 ,825"
44,43.0,Port Manatee,"2,419",Gulfport (MS),"2,448",Gulfport (MS),"2 ,124",Ketchikan (AK),"1 ,821"
45,44.0,Port Angeles (WA),"2,417",Port Angeles (WA),"2,377",Brunswick (GA),"2 ,063",New London (CT),"1 ,636"
46,45.0,Green Bay (WI),"2,353",Brownsville (TX),"2,284",New London (CT),"2 ,049",Pensacola (FL),"1 ,623"
47,46.0,Buffalo (NY),"2,341",Green Bay (WI),"2,130",Grays Harbor (WA),"1 ,990",Drummond Island (MI),"1 ,606"
48,47.0,Gulfport (MS),"2,207",Muskegon (MI),"2,061",San Francisco (CA),"1 ,982",Charlevoix (MI),"1 ,584"
49,48.0,New London (CT),"2,036",Olympia (WA),"1,997",Olympia (WA),"1 ,893",Grays Harbor (WA),"1 ,566"
50,49.0,Muskegon (MI),"1,936",New London (CT),"1,915",Buffalo (NY),"1 ,864",Hilo (HI),"1 ,354"
51,50.0,Monroe (MI),"1,929",Buffalo (NY),"1,894",San Diego (CA),"1 ,842",San Diego (CA),"1 ,351"
52,51.0,San Diego (CA),"1,873",San Diego (CA),"1,724",Monroe (MI),"1 ,794",San Francisco (CA),"1 ,330"
53,52.0,Buffington (IN),"1,823",Pensacola (FL),"1,674",Drummond Island (MI),"1 ,682",Stockton (CA),"1 ,320"
54,53.0,Salem (MA),"1,692",Stockton (CA),"1,647",Charlevoix (MI),"1 ,666",Bellingham (WA),"1 ,291"
55,54.0,Georgetown(SC),"1,631",Salem (MA),"1,599",Marquette (MI),"1 ,598",Searsport (ME),"1 ,263"
56,55.0,Hilo (HI),"1,630",Drummond Island (MI),"1,560",Richmond (VA),"1 ,499",Bucksport (ME),"1 ,238"
57,56.0,Drummond Island (MI),"1,582",Bellingham (WA),"1,555",Richmond (VA),"1 ,499",Georgetown(SC),"1 ,234"
58,57.0,Pensacola (FL),"1,580",Searsport (ME),"1,537",Hilo (HI),"1 ,442",Humboldt Bay (CA),"1 ,220"
59,58.0,Grays Harbor (WA),"1,488",Georgetown(SC),"1,535",Erie (PA),"1 ,434",Salem (MA),"1 ,197"
60,59.0,Olympia (WA),"1,423",Charlevoix (MI),"1,529",Searsport (ME),"1 ,433",Ludington (MI),"1 ,150"
61,60.0,Stockton (CA),"1,339",Buffington (IN),"1,500",Salem (MA),"1 ,432",Sacramento (CA),"1 ,137"
62,61.0,San Francisco (CA),"1,330",Hilo (HI),"1,489",Bellingham (WA),"1 ,419",Richmond (VA),"1 ,135"
63,62.0,Searsport (ME),"1,329",Grays Harbor (WA),"1,486",Hopewell (VA),"1 ,395",Richmond (VA),"1 ,135"
64,63.0,Hueneme (CA),"1,328",Hopewell (VA),"1,362",Georgetown(SC),"1 ,379",Ponce (PR),"1 ,134"
65,64.0,Erie (PA),"1,296",Redwood City (CA),"1,293",Pensacola (FL),"1 ,379",Nawiliwili (HI),"1 ,130"
66,65.0,Marysville (MI),"1,282",Ketchikan (AK),"1,241",Ketchikan (AK),"1 ,341",Huron (OH),"1 ,087"
67,66.0,Charlevoix (MI),"1,281",Humboldt Bay (CA),"1,175",Buffington (IN),"1 ,243",Hueneme (CA),"1 ,076"
68,67.0,Bellingham (WA),"1,244",Kelleys Island (OH),"1,170",Sacramento (CA),"1 ,240",Erie (PA),"1 ,057"
69,68.0,Huron (OH),"1,192",Erie (PA),"1,163",Ludington (MI),"1 ,237",Astoria (OR),9 85
70,69.0,Hopewell (VA),"1,183",Bucksport (ME),"1,153",Nawiliwili (HI),"1 ,230",Grand Haven (MI),9 61
71,70.0,Kelleys Island (OH),"1,173",Sacramento (CA),"1,143",Humboldt Bay (CA),"1 ,197",Hopewell (VA),9 35
72,71.0,Richmond (VA),"1,089",Marysville (MI),"1,142",Stockton (CA),"1 ,143",Seward (AK),9 28
73,72.0,Richmond (VA),"1,089",Richmond (VA),"1,121",Marysville (MI),"1 ,068",Marysville (MI),8 89
74,73.0,Ludington (MI),"1,075",Richmond (VA),"1,121",Bucksport (ME),"1 ,029",Kawaihae (HI),8 73
75,74.0,Humboldt Bay (CA),"1,072",Nawiliwili (HI),"1,091",Huron (OH),"1 ,004",Marquette (MI),8 36
76,75.0,Grand Haven (MI),"1,014",San Francisco (CA),"1,003",Redwood City (CA),9 85,Redwood City (CA),7 54
77,76.0,Nawiliwili (HI),938,Hueneme (CA),988,Grand Haven (MI),9 71,Kodiak (AK),6 96
78,77.0,Ketchikan (AK),937,Grand Haven (MI),988,Kawaihae (HI),9 69,Orange (TX),6 93
79,78.0,Sacramento (CA),925,Kawaihae (HI),980,Hueneme (CA),9 43,Fernandina (FL),5 99
80,79.0,Kawaihae (HI),886,Ponce (PR),948,Seward (AK),8 77,New Bedford (MA),5 70
81,80.0,Bucksport (ME),876,Christiansted (VI),888,Ponce (PR),7 98,Wrangell (AK),5 44
82,81.0,Marquette (MI),869,Ludington (MI),864,Kodiak (AK),7 66,Homer (AK),5 01
83,82.0,Redwood City (CA),863,Huron (OH),856,Skagway (AK),6 50,Waukegan (IL),4 96
0,,Port Huron (MI),843,Kodiak (AK),853,Fernandina (FL),6 48,Port Huron (MI).1,4 88
1,0.0,Orange (TX),756,Seward (AK),842,Orange (TX),6 16,Oswego (NY),4 35
2,1.0,Christiansted (VI),642,Orange (TX),691,Port Huron (MI),5 81,Mayaguez (PR),4 05
0,,Fernandina (FL),572.0,Marquette (MI),689.0,New Bedford (MA),5 16,St. Thomas (VI),3 92
1,0.0,Waukegan (IL),555.0,Oswego (NY),640.0,St. Thomas (VI),5 12,Port Townsend (WA),3 62
2,1.0,New Bedford (MA),533.0,Port Huron (MI),588.0,Oswego (NY),5 11,Christiansted (VI),2 87
3,2.0,Oswego (NY),471.0,Juneau (AK),583.0,Wrangell (AK),4 73,Skagway (AK),2 65
4,3.0,Port Townsend (WA),456.0,New Bedford (MA),554.0,Waukegan (IL),4 69,Fajardo (PR),2 51
5,4.0,Mayaguez (PR),452.0,Fernandina (FL),533.0,Juneau (AK),4 65,Juneau (AK),1 92
6,5.0,Fajardo (PR),426.0,Waukegan (IL),473.0,Port Townsend (WA),4 64,Kelleys Island (OH),1 23
7,6.0,St. Thomas (VI),380.0,Mayaguez (PR),424.0,Homer (AK),3 97,Sitka (AK),-
8,7.0,Seward (AK),380.0,Port Townsend (WA),412.0,Mayaguez (PR),3 95,Rochester (NY),
9,8.0,Homer (AK),338.0,St. Thomas (VI),383.0,Kelleys Island (OH),3 71,Port Dolmite (MI),
10,9.0,Juneau (AK),320.0,Fajardo (PR),349.0,Astoria (OR),3 24,Port Inland (MI),
11,10.0,Astoria (OR),306.0,Homer (AK),302.0,Christiansted (VI),2 97,Gary (IN),
12,11.0,Kodiak (AK),207.0,Astoria (OR),298.0,Fajardo (PR),2 95,Marblehead (OH),
13,12.0,Skagway (AK),197.0,Skagway (AK),258.0,Rochester (NY),1 67,Silver Bay (MN),
