,Rank,Port/State,Foreign Trade | TONS,Imports,Port/State,Export Tons,Port/state,Total foreign trade | Tons,10,Port/state,Tons,Port/state,Tons
54,50,"Detroit, MI","9,014,002",50,"Port Canaveral, FL","1,834,118","Chicago, IL","895,604",50.0,"New Haven, CT","3,234,487","Seattle, WA","5,162,695"
55,51,"Indiana Harbor, IN","8,197,993",51,"Ponce, PR","1,823,653","Seward, AK","886,358",51.0,"Brownsville, TX","3,143,759","Escanaba, MI","4,800,757"
56,52,"St. Clair, MI","8,073,962",52,"Milwaukee, WI","1,515,508","Grays Harbor, WA","859,709",52.0,"Detroit, MI","3,118,289","Cleveland, OH","4,642,106"
57,53,"New Castle, DE","7,582,549",53,"Port Manatee, FL","1,498,513","Calcite, MI","748,847",53.0,"Portsmouth, NH","3,069,638","Stoneport, MI","4,603,544"
58,54,"Albany, NY","7,177,977",54,"Fall River, MA","1,494,067","San Juan, PR","748,598",54.0,"Port Manatee, FL","2,587,869","St. Paul, MN","4,148,342"
59,55,"Two Harbors, MN","7,095,686",55,"Searsport, ME","1,300,623","Sandusky, OH","732,105",55.0,"Anacortes, WA","2,212,984","Calcite, MI","4,047,323"
60,56,"Presque Isle, MI","6,989,563",56,"Gulfport, MS","1,286,636","Panama City, FL","708,086",56.0,"Ponce, PR","2,210,319","Freeport, TX","4,025,067"
61,57,"Port Lavaca, TX","6,950,790",57,"Cleveland, OH","1,269,813","Penn Manor, PA","673,342",57.0,"Brunswick, GA","2,066,192","Toledo, OH","3,846,704"
62,58,"Providence, RI","6,927,656",58,"Port Hueneme, CA","1,225,574","Nikishka, AK","643,863",58.0,"Port Canaveral, FL","1,956,774","Burns  Harbor, IN","3,781,210"
63,59,"Vancouver, WA","6,818,889",59,"Penn Manor, PA","1,135,214","Stockton, CA","626,928",59.0,"Ashtabula, OH","1,889,104","New Castle, DE","3,659,819"
64,60,"Miami, FL","6,771,535",60,"Galveston, TX","1,105,885","Wilmington, DE","557,008",60.0,"Bridgeport, CT","1,866,427","Vicksburg, MS","3,315,676"
65,61,"Wilmington, NC","6,715,576",61,"Stockton, CA","972,376","Gulfport, MS","556,831",61.0,"Gulfport, MS","1,843,467","Biloxi, MS","3,233,250"
66,62,"Gary, IN","6,388,914",62,"San Diego, CA","945,772","Silver Bay, MN","461,720",62.0,"Penn Manor, PA","1,808,556","Port Inland, MI","3,190,953"
67,63,"Cleveland, OH","6,075,920",63,"Anacortes, WA","916,798","Unalaska Island, AK","432,010",63.0,"Presque Isle, MI","1,783,776","Providence, RI","3,077,152"
68,64,"Camden-Gloucester, NJ","5,699,995",64,"Longview, WA","852,602","Philadelphia, PA","419,042",64.0,"Milwaukee, WI","1,698,842","Silver Bay, MN","3,065,962"
69,65,"Mount Vernon, IN","5,554,763",65,"Brunswick, GA","784,325","Detroit, MI","413,815",65.0,"Morehead City, NC","1,661,332","Conneaut, OH","2,843,112"
70,66,"Louisville, KY","5,352,587",66,"Vancouver, WA","762,702","Marblehead, OH","412,497",66.0,"Stockton, CA","1,599,304","Nikishka, AK","2,720,657"
71,67,"Longview, WA","5,100,195",67,"Nikishka, AK","700,554","Albany, NY","405,951",67.0,"Fall River, MA","1,494,067","Bridgeport, CT","2,710,536"
72,68,"Escanaba, MI","4,854,640",68,"Ashtabula, OH","612,860","Ponce, PR","386,666",68.0,"Cleveland, OH","1,433,814","Oakland, CA","2,400,343"
0,69,"Stoneport, MI","4,847,228",69.1,"Salem, MA","609,330","New Haven, CT","378,005",69.3,"Nikishka, AK","1,344,417","Charleston, SC","2,378,893"
1,70,"Calcite, MI","4,796,170",70.0,"San Francisco, CA","568,792","Olympia, WA","363,892",70.0,"Palm Beach, FL","1,343,863","Camden-Gloucester, NJ","2,131,944"
