, Year, TYPE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
76,2012.0,SUBTOTAL,"112,575","119,052","134,857","123,439","132,498","120,964","131,767","137,039 131,686","120,810","125,780","124,120","1,514,585"
77,2011.0,EXPORT EMPTY,"9,176","8,759","6,832","10,394","12,716","12,140","14,010","14,374 14,972","11,343","11,754","7,503","133,972"
78,2011.0,LOADED,"48,560","46,998","53,731","47,371","49,256","44,310","43,169","45,122 49,181","46,130","44,176","47,151","565,153"
79,2011.0,TOTAL,"57,736","55,757","60,563","57,765","61,972","56,449","57,178","59,496 64,153","57,473","55,930","54,654","699,125"
80,2011.0,IMPORT EMPTY,"8,207","9,983","10,559","8,082","8,979","7,360","4,848","2,442 7,367","6,136","6,171","6,600","86,733"
81,2011.0,LOADED,"46,757","43,254","49,143","48,818","49,589","51,459","51,477","52,896 53,511","50,041","50,331","48,218","595,491"
82,2011.0,TOTAL,"54,964","53,237","59,702","56,900","58,567","58,819","56,325","55,338 60,878","56,177","56,502","54,817","682,224"
83,2011.0,SUBTOTAL,"112,699","108,994","120,265","114,664","120,539","115,268","113,503","114,833 125,032","113,650","112,431","109,472","1,381,349"
84,2010.0,EXPORT EMPTY,"9,667","7,018","6,336","9,061","14,049","13,897","17,170","17,368 12,331","13,573","11,803","10,711","142,983"
85,2010.0,LOADED,"44,557","44,674","48,900","51,997","46,106","45,552","47,366","44,855 40,938","49,466","45,081","42,411","551,902"
86,2010.0,TOTAL,"54,224","51,692","55,236","61,058","60,155","59,449","64,536","62,224 53,268","63,039","56,883","53,122","694,884"
87,2010.0,IMPORT EMPTY,"11,511","9,164","15,982","8,372","9,428","10,804","9,815","4,871 4,829","7,980","8,864","10,279","111,899"
88,2010.0,LOADED,"40,088","41,044","42,533","48,127","48,487","46,044","53,611","50,959 48,182","50,210","44,968","43,466","557,718"
89,2010.0,TOTAL,"51,599","50,208","58,515","56,499","57,915","56,848","63,426","55,830 53,011","58,190","53,833","53,745","669,616"
90,2010.0,SUBTOTAL,"105,822","101,900","113,750","117,556","118,070","116,297","127,963","118,053 106,279","121,229","110,716","106,866","1,364,501"
91,2009.0,EXPORT EMPTY,"15,532","9,922","7,991","10,568","7,298","7,377","9,011","10,089 7,248","9,694","7,549","5,474","107,750"
92,2009.0,LOADED,"40,885","39,290","40,589","38,247","42,148","37,912","40,876","40,202 41,615","45,916","42,729","41,946","492,354"
93,2009.0,TOTAL,"56,417","49,212","48,579","48,815","49,446","45,288","49,887","50,292 48,863","55,610","50,277","47,419","600,104"
94,2009.0,IMPORT EMPTY,"5,429","6,545","5,847","6,467","7,704","4,477","5,327","8,687 9,239","6,872","8,169","9,226","83,987"
95,2009.0,LOADED,"44,577","41,790","39,113","38,650","40,454","38,179","46,992","39,696 40,551","46,823","39,867","40,572","497,262"
96,2009.0,TOTAL,"50,006","48,335","44,960","45,116","48,158","42,656","52,318","48,382 49,790","53,695","48,035","49,797","581,249"
97,2009.0,SUBTOTAL,"106,423","97,547","93,540","93,932","97,603","87,945","102,205","98,674 98,653","109,305","98,313","97,217","1,181,353"
98,2008.0,EXPORT EMPTY,"13,623","11,593","12,006","10,724","16,634","11,922","11,587","15,442 10,135","21,174","19,243","18,203","172,286"
99,2008.0,LOADED,"53,662","63,023","58,681","60,652","65,520","61,250","56,722","63,186 55,917","54,294","45,581","39,781","678,267"
100,2008.0,TOTAL,"67,285","74,616","70,687","71,376","82,154","73,172","68,309","78,628 66,052","75,468","64,824","57,984","850,553"
101,2008.0,IMPORT EMPTY,"7,562","5,725","6,105","6,667","9,064","9,809","9,751","8,113 5,424","7,521","7,629","4,977","88,347"
102,2008.0,LOADED,"54,027","60,573","62,682","59,653","66,335","57,055","60,131","62,454 54,680","63,890","50,779","44,378","696,634"
103,2008.0,TOTAL,"61,589","66,298","68,787","66,320","75,399","66,864","69,882","70,567 60,104","71,411","58,408","49,355","784,981"
104,2008.0,SUBTOTAL,"128,874","140,913","139,474","137,695","157,553","140,036","138,191","149,195 126,156","146,878","123,231","107,339","1,635,534"
105,2007.0,EXPORT EMPTY,"20,213","20,090","22,290","23,076","20,705","20,043","20,938","21,867 19,339","17,770","15,614","10,936","232,880"
106,2007.0,LOADED,"53,717","55,244","63,864","57,123","56,601","59,492","49,389","56,556 55,804","54,775","58,674","56,843","678,081"
107,2007.0,TOTAL,"73,930","75,333","86,154","80,199","77,306","79,535","70,327","78,423 75,143","72,545","74,288","67,779","910,960"
108,2007.0,IMPORT EMPTY,"7,259","6,512","6,451","5,285","6,221","5,488","4,544","5,169 5,679","5,184","7,455","7,425","72,672"
109,2007.0,LOADED,"62,981","60,109","71,351","67,630","63,664","69,010","62,877","67,641 64,723","61,404","59,831","59,525","770,744"
110,2007.0,TOTAL,"70,240","66,621","77,802","72,915","69,885","74,498","67,421","72,810 70,402","66,587","67,286","66,950","843,416"
111,2007.0,SUBTOTAL,"144,169","141,954","163,956","153,114","147,191","154,033","137,748","151,233 145,544","139,132","141,573","134,729","1,754,376"
112,2006.0,EXPORT EMPTY,"28,701","26,349","20,683","26,621","30,849","32,547","31,511","33,848 29,917","34,956","25,661","25,886","347,526"
113,2006.0,LOADED,"57,004","49,879","59,631","55,615","59,054","57,676","51,962","55,301 53,415","56,343","53,480","58,562","667,921"
114,2006.0,TOTAL,"85,705","76,228","80,314","82,236","89,902","90,222","83,473","89,150 83,332","91,298","79,141","84,447","1,015,447"
115,2006.0,IMPORT EMPTY,"5,077","5,393","5,486","3,526","3,827","6,034","4,016","3,636 2,248","3,462","7,939","6,154","56,797"
116,2006.0,LOADED,"75,312","69,972","75,007","80,395","76,101","78,504","78,549","74,756 77,593","75,818","64,669","69,556","896,230"
117,2006.0,TOTAL,"80,389","75,365","80,493","83,921","79,928","84,538","82,565","78,392 79,841","79,279","72,608","75,710","953,027"
118,2006.0,SUBTOTAL,"166,094","151,593","160,807","166,156","169,831","174,760","166,038","167,541 163,173","170,577","151,748","160,157","1,968,474"
119,2005.0,EXPORT EMPTY,"27,090","21,533","21,390","25,366","33,478","29,408","35,469","26,935 30,707","32,148","30,443","29,531","343,495"
120,2005.0,LOADED,"58,351","56,250","60,231","59,697","61,783","55,605","56,911","54,920 52,050","55,838","53,250","53,907","678,792"
121,2005.0,TOTAL,"85,441","77,783","81,621","85,063","95,260","85,012","92,380","81,854 82,757","87,985","83,694","83,437","1,022,286"
122,2005.0,IMPORT EMPTY,"6,911","4,890","6,217","7,185","5,246","4,736","4,111","6,554 3,434","4,514","4,171","3,758","61,726"
123,2005.0,LOADED,"70,756","68,919","78,397","80,140","81,708","70,036","79,870","77,988 69,599","76,536","75,257","71,670","900,875"
124,2005.0,TOTAL,"77,667","73,809","84,614","87,325","86,954","74,772","83,981","84,541 73,033","81,049","79,428","75,428","962,601"
125,2005.0,SUBTOTAL,"163,108","151,592","166,235","172,388","182,214","159,784","176,361","166,396 155,790","169,034","163,121","158,865","1,984,887"
126,2004.0,EXPORT EMPTY,"20,598","15,434","20,479","32,062","29,011","22,707","26,912","29,393 26,580","33,462","24,927","31,028","312,592"
127,2004.0,LOADED,"51,109","53,354","58,007","50,844","56,500","48,685","51,137","54,931 50,065","57,293","54,261","56,782","642,967"
128,2004.0,TOTAL,"71,707","68,788","78,486","82,906","85,511","71,391","78,049","84,324 76,645","90,755","79,188","87,810","955,558"
129,2004.0,IMPORT EMPTY,"4,478","8,328","8,811","3,215","4,867","4,878","4,833","5,347 5,104","6,134","6,460","5,805","68,260"
130,2004.0,LOADED,"60,706","60,766","68,309","68,138","72,149","64,929","78,833","75,337 69,584","78,513","69,612","73,223","840,098"
131,2004.0,TOTAL,"65,184","69,094","77,120","71,353","77,016","69,808","83,666","80,685 74,688","84,647","76,071","79,028","908,358"
132,2004.0,SUBTOTAL,"136,891","137,882","155,606","154,258","162,527","141,199","161,715","165,008 151,332","175,402","155,260","166,838","1,863,916"
