,2,Period | South Carolina Ports,Intermodal Drays South Carolina Ports,Total Pier Container History South Carolina Ports,Total  TEU History  South Carolin PORTS
47,46,"November, 2010",0,"6 5,251","1 10,716"
48,47,"December, 2010",0,"6 2,405","1 06,866"
49,48,"January, 2011",0,"6 5,863","1 12,699"
50,49,"February, 2011",0,"6 3,538","1 08,994"
51,50,"March, 2011",0,"6 9,826","1 20,265"
52,51,"April, 2011",0,"6 6,430","1 14,664"
53,52,"May, 2011",0,"6 9,576","1 20,539"
54,53,"June, 2011",0,"6 6,568","1 15,268"
55,54,"July, 2011",0,"6 5,260","1 13,503"
56,55,"August, 2011",0,"6 6,384","1 14,833"
57,56,"September, 2011",0,"7 2,265","1 25,032"
58,57,"October, 2011",0,"6 5,704","1 13,650"
59,58,"November, 2011",0,"6 4,380","1 12,431"
60,59,"December, 2011",0,"6 3,085","1 09,472"
61,60,"January, 2012",0,"6 4,626","1 12,575"
62,61,"February, 2012",0,"6 7,504","1 19,052"
63,62,"March, 2012",0,"7 7,045","1 34,857"
64,63,"April, 2012",166,"7 1,107","1 23,439"
65,64,"May, 2012",377,"7 5,616","1 32,498"
66,65,"June, 2012","1,791","6 8,875","1 20,964"
67,66,"July, 2012","2,134","7 5,201","1 31,767"
68,67,"August, 2012","1,944","7 8,280","1 37,039"
69,68,"September, 2012","1,884","7 4,672","1 31,686"
70,69,"October, 2012","3,553","6 8,845","1 20,810"
71,70,"November, 2012","2,140","7 1,517","1 25,780"
72,71,"December, 2012","3,990","7 1,105","1 24,120"
73,72,"January, 2013","5,715","6 9,156","1 21,286"
74,73,"February, 2013","6,610","7 4,939","1 31,634"
75,74,"March, 2013","6,361","7 7,313","1 36,877"
76,75,"April, 2013","6,584","7 7,060","1 34,718"
77,76,"May, 2013","7,256","7 9,696","1 39,143"
78,77,"June, 2013","6,876","7 2,006","1 25,257"
79,78,"July, 2013","9,653","7 7,126","1 36,159"
80,79,"August, 2013","8,432","8 2,485","1 44,649"
81,80,"September, 2013","8,279","7 5,595","1 33,011"
82,81,"October, 2013","9,885","7 9,142","1 41,049"
83,82,"November, 2013","8,606","7 5,114","1 33,481"
84,83,"December, 2013","8,561","7 0,195","1 24,103"
85,84,"January, 2014","10,229","7 3,303","1 29,562"
86,85,"February, 2014","12,409","7 3,762","1 29,747"
87,86,"March, 2014","13,082","8 5,616","1 50,516"
88,87,"April, 2014","14,234","8 6,505","1 51,790"
89,88,"May, 2014","13,496","9 1,948","1 61,658"
90,89,"June, 2014","13,132","8 5,894","1 49,183"
91,90,"July, 2014","15,401","8 7,882","1 53,916"
92,91,"August, 2014","13,670","9 3,221","1 63,970"
93,92,"September, 2014","14,552","8 5,638","1 50,790"
94,93,"October, 2014","14,580","9 4,470","1 64,672"
95,94,"November, 2014","12,839","8 2,466","1 44,218"
96,95,"December, 2014","14,884","8 2,076","1 41,956"
97,96,"January, 2015","15,176","8 8,619","1 52,917"
98,97,"February, 2015","15,019","8 6,258","1 52,925"
99,98,"March, 2015","17,331","9 7,191","1 71,113"
100,99,"April, 2015","17,823","9 6,166","1 68,182"
101,100,"May, 2015","17,845","1 04,003","1 81,809"
102,101,"June, 2015","19,820","9 6,916","1 69,913"
103,102,"July, 2015","20,622","9 9,144","1 75,223"
104,103,"August, 2015","19,354","9 6,559","1 70,528"
105,104,"September, 2015","20,052","9 3,907","1 67,549"
106,105,"October, 2015","17,558","9 3,046","1 64,734"
107,106,"November, 2015","16,729","8 6,120","1 53,594"
108,107,"December, 2015","17,364","8 2,398","1 44,718"
109,108,"January, 2016","14,317","8 1,993","1 45,092"
110,109,"February, 2016","17,184","8 8,643","1 57,962"
111,110,"March, 2016","18,176","9 6,123","1 70,740"
112,111,"April, 2016","15,007","8 9,326","1 57,959"
